file,valid_hex,checksum_status,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,rtos_core_hits,service_flag_hits,secondary_flag_hits,arithmetic_hits,notes
ppkp2012 a01.PZU,false,checksum_error,0x97D9,xdata_reader_candidate,8,hypothesis,unknown,1,0,2,1,1,0,0,0,1,0,1,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x460C,table_string_candidate,7,hypothesis,state_reader_or_packet_builder,8,7,1,2,6,0,0,0,0,0,0,0,3,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x4840,dispatcher_candidate,7,hypothesis,dispatcher_or_router,19,18,1,10,0,1,0,0,0,0,0,0,5,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x4A0B,dispatcher_candidate,7,hypothesis,dispatcher_or_router,6,5,4,4,1,0,0,0,0,0,0,0,2,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x75F0,xdata_reader_candidate,7,hypothesis,unknown,1,0,9,0,1,0,0,0,1,1,0,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x95C9,xdata_reader_candidate,7,hypothesis,unknown,1,0,1,0,2,0,0,0,2,0,2,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0xA0EF,dispatcher_candidate,7,hypothesis,dispatcher_or_router,24,23,1,25,8,0,0,0,0,0,0,0,6,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0xAFF7,dispatcher_candidate,7,hypothesis,dispatcher_or_router,36,35,1,19,3,0,0,0,0,0,0,0,4,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0xB15E,dispatcher_candidate,7,hypothesis,dispatcher_or_router,36,35,1,19,3,0,0,0,0,0,0,0,4,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0xB2C5,dispatcher_candidate,7,hypothesis,dispatcher_or_router,36,35,1,19,3,0,0,0,0,0,0,0,4,checksum_error_limits_confidence;no_rtos_cluster_hits
