file,branch,code_addr,dptr_addr,target_addr,evidence_type,confidence
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x724A,0x4482,0x9B35,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7259,0x7400,0x9AEC,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7524,0x7538,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x752F,0x61AE,0x78EB,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x753F,0x7538,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x754A,0x61A4,0x78EB,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7564,0x3080,0x9B15,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x757B,0x6539,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x758A,0x74F3,0x8A58,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x75AF,0x60DF,0x78EB,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x75E8,0xA532,0x7816,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7610,0x75F8,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7619,0x609E,0x78EB,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x765E,0x7655,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7679,0x7672,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7684,0x607F,0x78EB,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x768E,0x7672,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7699,0x60C5,0x78EB,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x76A3,0x7659,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x76AE,0x605C,0x78EB,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x76B8,0x7659,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x76C3,0x60D4,0x78EB,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7737,0x676F,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7752,0x7718,0x781A,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x79BE,0x44A3,0x8D10,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x79C8,0x44C3,0x8D10,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x79D1,0x44A3,0x8D10,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x79DA,0x44A3,0x8D10,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x79ED,0xFF80,0x8D0D,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7A07,0xFF80,0x8D0D,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7A16,0x44E3,0x8D10,probable_pointer_argument,medium
